DateTime,Text,Words_VAD_Emotion,Tweet_VAD_Emotion,Segment_ID
2016-04-11 20:54:46+00:00,Sex is about more than just two people trying to take up less space. It actually feels pretty good too,"{""sex"": {""valence"": 0.803, ""arousal"": 0.939, ""dominance"": 0.704, ""emotion"": [0, 0, 1, 1, 0, 0, 1, 0]}, ""two"": {""valence"": 0.52, ""arousal"": 0.2, ""dominance"": 0.404, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""people"": {""valence"": 0.604, ""arousal"": 0.4, ""dominance"": 0.5, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""take"": {""valence"": 0.828, ""arousal"": 0.537, ""dominance"": 0.348, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""less"": {""valence"": 0.265, ""arousal"": 0.24, ""dominance"": 0.115, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""space"": {""valence"": 0.8, ""arousal"": 0.317, ""dominance"": 0.573, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""pretty"": {""valence"": 0.875, ""arousal"": 0.516, ""dominance"": 0.561, ""emotion"": [0, 0, 1, 1, 0, 0, 1, 0]}, ""good"": {""valence"": 0.938, ""arousal"": 0.368, ""dominance"": 0.534, ""emotion"": [0, 0, 1, 1, 1, 0, 1, 0]}}","{""valence"": 0.704125, ""arousal"": 0.439625, ""dominance"": 0.467375, ""emotion"": [0.0, 0.0, 0.375, 0.375, 0.125, 0.0, 0.375, 0.0]}",0
2016-04-11 22:44:29+00:00,@casualmaggs I can still imagine 😒,"{""can"": {""valence"": 0.662, ""arousal"": 0.36, ""dominance"": 0.454, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""imagine"": {""valence"": 0.759, ""arousal"": 0.48, ""dominance"": 0.587, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.7105, ""arousal"": 0.42, ""dominance"": 0.5205, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-12 14:24:31+00:00,When is the right age to get married,"{""right"": {""valence"": 0.74, ""arousal"": 0.352, ""dominance"": 0.71, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""age"": {""valence"": 0.561, ""arousal"": 0.226, ""dominance"": 0.498, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""get"": {""valence"": 0.74, ""arousal"": 0.594, ""dominance"": 0.667, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""married"": {""valence"": 0.674, ""arousal"": 0.57, ""dominance"": 0.602, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.6787500000000001, ""arousal"": 0.4355, ""dominance"": 0.61925, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-13 02:16:09+00:00,RT @akmaltajihan: You come here often?...... Well you're about to,"{""come"": {""valence"": 0.529, ""arousal"": 0.269, ""dominance"": 0.558, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.529, ""arousal"": 0.269, ""dominance"": 0.558, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-13 15:01:28+00:00,Hey guys sorry I haven't made a vine in 3 weeks. My phone died,"{""sorry"": {""valence"": 0.406, ""arousal"": 0.362, ""dominance"": 0.212, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""vine"": {""valence"": 0.531, ""arousal"": 0.292, ""dominance"": 0.405, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""phone"": {""valence"": 0.729, ""arousal"": 0.344, ""dominance"": 0.418, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""died"": {""valence"": 0.021, ""arousal"": 0.65, ""dominance"": 0.327, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.42174999999999996, ""arousal"": 0.412, ""dominance"": 0.34049999999999997, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-13 18:16:28+00:00,Why just the pilots? I think everybody on an airplane should have a gun. That way everyone can feel safe. https://t.co/NadjIaP3ti,"{""think"": {""valence"": 0.786, ""arousal"": 0.408, ""dominance"": 0.618, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""airplane"": {""valence"": 0.719, ""arousal"": 0.702, ""dominance"": 0.708, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""have"": {""valence"": 0.757, ""arousal"": 0.389, ""dominance"": 0.593, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""gun"": {""valence"": 0.147, ""arousal"": 0.92, ""dominance"": 0.713, ""emotion"": [1, 1, 0, 0, 0, 0, 0, 0]}, ""way"": {""valence"": 0.48, ""arousal"": 0.275, ""dominance"": 0.42, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""can"": {""valence"": 0.662, ""arousal"": 0.36, ""dominance"": 0.454, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""feel"": {""valence"": 0.802, ""arousal"": 0.602, ""dominance"": 0.596, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""safe"": {""valence"": 0.898, ""arousal"": 0.306, ""dominance"": 0.759, ""emotion"": [0, 0, 0, 1, 0, 0, 1, 0]}}","{""valence"": 0.6563749999999999, ""arousal"": 0.49524999999999997, ""dominance"": 0.6076250000000001, ""emotion"": [0.125, 0.125, 0.0, 0.125, 0.0, 0.0, 0.125, 0.0]}",0
2016-04-13 20:27:29+00:00,@LeaveItToBaever Will where have you BEEN,"{""will"": {""valence"": 0.698, ""arousal"": 0.408, ""dominance"": 0.735, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""have"": {""valence"": 0.757, ""arousal"": 0.389, ""dominance"": 0.593, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.7275, ""arousal"": 0.39849999999999997, ""dominance"": 0.6639999999999999, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-15 01:45:20+00:00,When skate really is life like you physically can't get off your skateboard https://t.co/isl2KVzHPn,"{""skate"": {""valence"": 0.74, ""arousal"": 0.653, ""dominance"": 0.508, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""life"": {""valence"": 0.918, ""arousal"": 0.615, ""dominance"": 0.824, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""like"": {""valence"": 0.719, ""arousal"": 0.353, ""dominance"": 0.446, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""get"": {""valence"": 0.74, ""arousal"": 0.594, ""dominance"": 0.667, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""skateboard"": {""valence"": 0.677, ""arousal"": 0.55, ""dominance"": 0.353, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.7588, ""arousal"": 0.5529999999999999, ""dominance"": 0.5596, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-15 03:54:34+00:00,"RT @oyinakinwumi: Me: imma be in bed by 10 
Me at 1am: https://t.co/JkXLeIuKd4","{""be"": {""valence"": 0.67, ""arousal"": 0.24, ""dominance"": 0.554, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""bed"": {""valence"": 0.604, ""arousal"": 0.173, ""dominance"": 0.327, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.637, ""arousal"": 0.2065, ""dominance"": 0.4405, ""emotion"": [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0
2016-04-16 05:46:11+00:00,@amananananda this was a pretty weird rant babe,"{""pretty"": {""valence"": 0.875, ""arousal"": 0.516, ""dominance"": 0.561, ""emotion"": [0, 0, 1, 1, 0, 0, 1, 0]}, ""weird"": {""valence"": 0.26, ""arousal"": 0.66, ""dominance"": 0.402, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 1]}, ""rant"": {""valence"": 0.219, ""arousal"": 0.774, ""dominance"": 0.482, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}, ""babe"": {""valence"": 0.86, ""arousal"": 0.536, ""dominance"": 0.424, ""emotion"": [0, 0, 0, 0, 0, 0, 0, 0]}}","{""valence"": 0.5535, ""arousal"": 0.6215, ""dominance"": 0.46725, ""emotion"": [0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.25, 0.25]}",0
